"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"43",42,"2:05:32","Aunt Janie's Roadtrip",299,"Susan Bennerstrom / David Scherrer","/","Recreational Mixed",1
"44",44,"2:05:35","Aven Construction",4,"Glen Marsh / shekinah aven","/","Competitive Open",15
"45",45,"2:05:58","Kids on [Lactic] Acid",46,"Billy Jessen / David Couvrette","/","Competitive Open",16
"46",46,"2:06:17","mt.baker ski patrol d team",557,"Dave May / Kevin Kaiser","/","Corporate",4
"47",47,"2:06:40","DIEGO'S",29,"Jof Abshire / David Croft","/","Competitive Open",17
"48",48,"2:06:45","Chuck Norris' Stimulus Package",259,"Tim Ballew II / Richard Ballew","/","Recreational Open",4
"49",49,"2:06:54","Mt. Baker Ski Patrol ""B"" team",550,"Mike Hamilton / Ryan Spoelstra","/","Corporate",5
"50",50,"2:06:55","Black Stallions",77,"Sam Wyckoff / Noah Skartvedt","/","Competitive Open",18
"51",51,"2:07:42","RE/MAX Whatcom County, Inc.",126,"Ted Scherrer / Emily Scherrer","/","Whatcom County Mixed",3
"52",52,"2:07:47","Toplinx One",475,"glenn biernacki / Pat Baker","/","Masters",4
"53",53,"2:08:08","High Country Hoodlums",39,"Andrew Berger / Justin Paul","/","Competitive Open",19
"54",54,"2:08:29","BAI Environmental Services",26,"Timothy Ahern / Stanley Mrzygod","/","Competitive Open",20
"55",55,"2:08:40","Bellingham Firefighters",534,"Christian Carson / Brian Flannelly","/","Corporate",6
"56",56,"2:08:51","CH2MHILL",533,"Chuck Nelson / Ann Helgeson","/","Corporate",7
"57",57,"2:08:59","For the Halibut",31,"Mark Johnson / Marcus Fairbanks","/","Competitive Open",21
"58",58,"2:09:02","Mt. Baker Ski Patrol 'C' Team",547,"Forest Chiavario / Chuck Foster","/","Corporate",8
"59",59,"2:09:41","Awesome Dawson Descending Masters",477,"Pete Dawson / Brad Haggen","/","Masters",5
"60",60,"2:10:54","Sehome Diner",304,"Sandi Mitchell / Tim Jollimore","/","Recreational Mixed",2
"61",61,"2:11:01","Haggen Jalapenos",180,"Kevin Fazio / Brian Stockman","/","Whatcom County Open",8
"62",62,"2:11:06","Whatever",59,"Uriah Brown / Warren Brown-Pounds","/","Competitive Open",22
"63",62,"2:11:06","ID all stars",27,"Sean Cain / Michael Beckman","/","Competitive Open",22
"64",64,"2:11:22","The Monkey Wrench Gang",1,"MIke Meyer / Austin Ruf","/","Competitive Open",24
"65",65,"2:11:36","Team Belly Timber",137,"Jackie Davison / Shasonta Delmage","/","Whatcom County Women",2
"66",66,"2:11:54","John Robinett's 37th Birthday Bash",294,"Mark Miller / David Vanderhoek","/","Recreational Open",5
"67",67,"2:12:15","Rallye Auto Sport",60,"Casey Schau / Erin Ericson","/","Competitive Open",25
"68",68,"2:12:20","Shovel Ready",223,"Derek Stuart / Joe Herold","/","Recreational Open",6
"69",69,"2:12:29","Hammer Time",240,"Carl Berg / Stan Cox","/","Recreational Open",7
"70",70,"2:12:38","VanDammage",63,"Jay Ostby / Ryan Diener","/","Competitive Open",26
"71",71,"2:12:50","suffer'n bastards and Kristin",476,"Steve Hood / Kelly Stockton","/","Masters",6
"72",72,"2:13:02","B'Hammocks",149,"Bryan Beatty / Craig Cooper","/","Whatcom County Open",9
"73",73,"2:13:36","TEAM ISLAGIATT",35,"Brian Finnegan / Les Seelye","/","Competitive Open",27
"74",74,"2:13:40","The Wreckers",398,"Kevin Hickey / faron clymer","/","Recreational Open",8
"75",75,"2:13:44","Woodcraft Wood Floors, Inc.",488,"John Freeto / Jerry Granahan","/","Veterans",5
"76",76,"2:13:58","Cornwall Church",403,"Mark Bayard / rollie doo","/","Recreational Mixed",3
"77",77,"2:14:29","Bad Assets",151,"Danielle Burnett / Annie Gerstl","/","Whatcom County Mixed",4
"78",78,"2:14:48","Angle of Repose",147,"Deb Donovan / Aaron Spencer","/","Whatcom County Open",10
"79",79,"2:14:52","The Greatest American Heroes",264,"Rob Rogers / Jeff Solomon","/","Recreational Open",9
"80",80,"2:16:01","Tumwater Shadies",243,"Steve Strong / Adam Stocks","/","Recreational Open",10
"81",81,"2:16:10","Gray & Able?",492,"Chuck Couvrette / Barb Couvrette","/","Veterans",6
"82",82,"2:16:14","Team One Sixty Three",168,"Matt Ouilette / Paul Ostby","/","Whatcom County Open",11
"83",83,"2:16:36","Limited Release",390,"Brian Keeley / Jody Landreneau","/","Recreational Open",11
"84",84,"2:16:37","I Need a Bail Out!",366,"Shayne Mora / Michael Mallory","/","Recreational Open",12
"85",85,"2:16:43","Don't Wait Up",159,"Harvey Gunderson / Linda DenAdel","/","Whatcom County Open",12
"86",85,"2:16:43","Family Circus",519,"Phil Andress / Tim Andress","/","Family",2
"87",87,"2:17:00","Alpha Dogs",536,"Tony Munn / Don Thompson","/","Corporate",9
"88",88,"2:17:15","Peanuts Gang",17,"Frank Schultz / Carol Schultz","/","Competitive Open",28
"89",89,"2:17:19","Butterballs the 4th Coming",158,"Alli Neils / Mike LeMoine","/","Whatcom County Open",13
"90",90,"2:18:00","Sno Co. 1 Firefighters",543,"Bryan Collins / Micah Gaston","/","Corporate",10
"91",91,"2:18:07","The Scorchers",36,"Jake Hoffman / Joel Hoffman","/","Competitive Open",29
"92",92,"2:18:33","Its All Relative",313,"Bob Lazzar-Atwood / Karen Lazzar-Atwood","/","Recreational Mixed",4
"93",93,"2:18:38","The Koniebes",520,"Dave Konrad / Gary Konrad","/","Family",3
"94",94,"2:18:43","VO_2 the Beer",37,"Luke Meyers / Tyler Steinman","/","Competitive Open",30
"95",95,"2:19:34","Sub Prime",128,"David Cummins / Mike Meggyesy","/","Whatcom County Open",14
