"","player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game"
"1253","Alec Minnicks","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",0,0,0,0,0,5,0,0,0,0,0
"1254","Alden Harcourt","Division 1","Men","Division 1 Men","Carleton CUT",0,0,0,0,0,5,0,0,0,0,0
"1255","Aidan Slovinski","Division 3","Men","Division 3 Men","Williams WUFO",0,0,0,0,0,6,0,0,0,0,0
"1256","Adrian Lin","Division 1","Men","Division 1 Men","Brown Brownian Motion",1,1,0,0,0,8,0.125,0.125,0,0,0
"1257","Aditya Vunnum","Division 1","Men","Division 1 Men","Cal Ursa Major",0,0,0,0,0,5,0,0,0,0,0
"1258","Adam Rothman","Division 1","Men","Division 1 Men","Carleton CUT",0,0,0,0,0,5,0,0,0,0,0
"1259","Adam Ricci","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,0,0,0,0,5,0,0,0,0,0
"1260","Adam Cummings","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,0,0,0,6,0,0,0,0,0
"1261","Acacia Hahn","Division 1","Women","Division 1 Women","Oregon Fugue",16,8,7,1,0,6,2.66666666666667,1.33333333333333,1.16666666666667,0.166666666666667,0
"1262","Abraham Lovich","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,0,0,0,6,0,0,0,0,0
"1263","Abigail Montopoli","Division 3","Women","Division 3 Women","Occidental WAC",0,0,0,0,0,6,0,0,0,0,0
"1264","Abigail Clark","Division 1","Women","Division 1 Women","Georgia Athena",0,0,0,0,0,5,0,0,0,0,0
"1265","Zoe Lang","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1266","Zejun Li","Division 1","Women","Division 1 Women","Michigan Flywheel",2,0,1,0,-1,5,0.4,0,0.2,0,-0.2
"1267","Xiaochen Peng","Division 3","Women","Division 3 Women","Middlebury Pranksters",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1268","Wyatt Johnson","Division 3","Men","Division 3 Men","Berry Bucks",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1269","William Hassell","Division 3","Men","Division 3 Men","Carleton CHOP",3,0,0,2,-1,6,0.5,0,0,0.333333333333333,-0.166666666666667
"1270","Watkins Parker","Division 1","Men","Division 1 Men","North Carolina Darkside",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1271","Walt Johnson","Division 1","Men","Division 1 Men","Colorado Mambird",3,0,0,2,-1,7,0.428571428571429,0,0,0.285714285714286,-0.142857142857143
"1272","Victoria Green","Division 3","Women","Division 3 Women","Union Jillz",30,2,20,7,-1,6,5,0.333333333333333,3.33333333333333,1.16666666666667,-0.166666666666667
"1273","Trent Moon","Division 1","Men","Division 1 Men","Michigan Magnum",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1274","Tova Gordon","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",5,1,0,3,-1,6,0.833333333333333,0.166666666666667,0,0.5,-0.166666666666667
"1275","Tomomi Perry","Division 3","Men","Division 3 Men","Carleton CHOP",3,2,0,0,-1,6,0.5,0.333333333333333,0,0,-0.166666666666667
"1276","Thaovy Mai","Division 1","Women","Division 1 Women","Pennsylvania Venus",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1277","Teaghan Lynch","Division 1","Women","Division 1 Women","California - San Diego D-Co",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1278","Sutton Ballard","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",5,1,2,1,-1,5,1,0.2,0.4,0.2,-0.2
"1279","Sravya Dandamudi","Division 1","Women","Division 1 Women","Pennsylvania Venus",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1280","Spencer Ewing","Division 1","Women","Division 1 Women","Utah Spiral Jetty",11,1,2,7,-1,5,2.2,0.2,0.4,1.4,-0.2
"1281","Soh Nishiyama","Division 1","Men","Division 1 Men","Texas TUFF",4,0,0,3,-1,5,0.8,0,0,0.6,-0.2
"1282","Sierra Gaynor","Division 1","Women","Division 1 Women","Western Washington Chaos",4,0,1,2,-1,5,0.8,0,0.2,0.4,-0.2
"1283","Siddharth Yende","Division 1","Men","Division 1 Men","Brown Brownian Motion",1,0,0,0,-1,8,0.125,0,0,0,-0.125
"1284","Shannon Anderson","Division 1","Women","Division 1 Women","Utah Spiral Jetty",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1285","Seiji Koenigsberg","Division 1","Men","Division 1 Men","Oregon State Beavers",6,1,3,1,-1,5,1.2,0.2,0.6,0.2,-0.2
"1286","Sathvik Avulapati","Division 1","Men","Division 1 Men","NC State Alpha",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1287","Sassan Fahim","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1288","Sarah Skinner","Division 3","Women","Division 3 Women","Union Jillz",4,2,0,1,-1,6,0.666666666666667,0.333333333333333,0,0.166666666666667,-0.166666666666667
"1289","Samuel Winkler","Division 3","Men","Division 3 Men","Claremont Braineaters",2,0,1,0,-1,6,0.333333333333333,0,0.166666666666667,0,-0.166666666666667
"1290","Samuel Rysko","Division 3","Men","Division 3 Men","Davenport Panthers",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1291","Ryan Fontanez","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",3,0,1,1,-1,6,0.5,0,0.166666666666667,0.166666666666667,-0.166666666666667
"1292","Ruby Sutherlin Sovern","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",12,4,4,3,-1,5,2.4,0.8,0.8,0.6,-0.2
"1293","Rita Narbonne","Division 1","Women","Division 1 Women","Vermont Ruckus",2,1,0,0,-1,6,0.333333333333333,0.166666666666667,0,0,-0.166666666666667
"1294","Raffael Venterea","Division 3","Men","Division 3 Men","Rochester Piggies",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1295","Rachel Yao","Division 1","Women","Division 1 Women","North Carolina Pleiades",4,1,2,0,-1,7,0.571428571428571,0.142857142857143,0.285714285714286,0,-0.142857142857143
"1296","rachel Vanpelt","Division 3","Women","Division 3 Women","Union Jillz",2,1,0,0,-1,6,0.333333333333333,0.166666666666667,0,0,-0.166666666666667
"1297","Rachel Lit","Division 1","Women","Division 1 Women","Stanford Superfly",2,0,0,1,-1,7,0.285714285714286,0,0,0.142857142857143,-0.142857142857143
"1298","Quinn Sumerlin","Division 3","Women","Division 3 Women","Occidental WAC",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1299","Piper Fleming","Division 1","Women","Division 1 Women","Stanford Superfly",1,0,0,0,-1,7,0.142857142857143,0,0,0,-0.142857142857143
"1300","Phoenix Adams","Division 1","Women","Division 1 Women","Oregon Fugue",10,3,4,2,-1,6,1.66666666666667,0.5,0.666666666666667,0.333333333333333,-0.166666666666667
"1301","Philomena Shuffelton-Sobe","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1302","Pearl Tulay","Division 3","Women","Division 3 Women","Middlebury Pranksters",12,4,2,5,-1,5,2.4,0.8,0.4,1,-0.2
"1303","Owen Thoms","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",4,0,0,3,-1,6,0.666666666666667,0,0,0.5,-0.166666666666667
"1304","Nora Knudsen","Division 1","Women","Division 1 Women","Stanford Superfly",1,0,0,0,-1,7,0.142857142857143,0,0,0,-0.142857142857143
"1305","Nora de Rege","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",9,6,0,2,-1,6,1.5,1,0,0.333333333333333,-0.166666666666667
"1306","Noah Gettings","Division 3","Men","Division 3 Men","Middlebury Pranksters",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
"1307","Noah Berube","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",7,0,4,2,-1,5,1.4,0,0.8,0.4,-0.2
"1308","Nika Rockafeller","Division 1","Women","Division 1 Women","Vermont Ruckus",3,1,1,0,-1,6,0.5,0.166666666666667,0.166666666666667,0,-0.166666666666667
"1309","Nicolas Sprague","Division 1","Men","Division 1 Men","Washington University Contra",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
"1310","Nicolas Moreira","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1311","Nico Darringer","Division 3","Men","Division 3 Men","Whitman Sweets",25,5,10,9,-1,6,4.16666666666667,0.833333333333333,1.66666666666667,1.5,-0.166666666666667
"1312","Morgan West","Division 1","Women","Division 1 Women","Pennsylvania Venus",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1313","Molly Snow","Division 3","Women","Division 3 Women","Middlebury Pranksters",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1314","Molly Horstman Olson","Division 3","Women","Division 3 Women","Carleton Eclipse",24,12,8,3,-1,6,4,2,1.33333333333333,0.5,-0.166666666666667
"1315","Mitch Whisner","Division 3","Men","Division 3 Men","Rochester Piggies",15,3,7,4,-1,6,2.5,0.5,1.16666666666667,0.666666666666667,-0.166666666666667
"1316","Mira Larrance","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",27,18,6,2,-1,5,5.4,3.6,1.2,0.4,-0.2
"1317","Minh-Huy Le","Division 3","Men","Division 3 Men","Williams WUFO",4,3,0,0,-1,6,0.666666666666667,0.5,0,0,-0.166666666666667
"1318","Miles Collins","Division 3","Men","Division 3 Men","Carleton CHOP",4,2,0,1,-1,6,0.666666666666667,0.333333333333333,0,0.166666666666667,-0.166666666666667
"1319","Miguel McGuire","Division 1","Men","Division 1 Men","Georgia Jojah",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1320","Michael Sun","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",2,0,1,0,-1,5,0.4,0,0.2,0,-0.2
"1321","Melissa Dodson","Division 3","Women","Division 3 Women","Occidental WAC",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1322","Meagan Chau","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",4,0,1,2,-1,6,0.666666666666667,0,0.166666666666667,0.333333333333333,-0.166666666666667
"1323","Max Hemeon","Division 1","Men","Division 1 Men","Vermont Chill",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1324","Matthew Cao","Division 1","Men","Division 1 Men","Michigan Magnum",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1325","Marley Sussman","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",1,0,0,0,-1,7,0.142857142857143,0,0,0,-0.142857142857143
"1326","Mae Wrigley","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1327","Madeleine Kruckemeyer","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",4,1,0,2,-1,6,0.666666666666667,0.166666666666667,0,0.333333333333333,-0.166666666666667
"1328","Maclain Everson-Rose","Division 3","Men","Division 3 Men","St Olaf Berzerkers",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1329","Lydia Mendoza","Division 1","Women","Division 1 Women","Pennsylvania Venus",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
"1330","Lucy Leary","Division 1","Women","Division 1 Women","Utah Spiral Jetty",5,1,2,1,-1,5,1,0.2,0.4,0.2,-0.2
"1331","Lucinda Toppen","Division 1","Women","Division 1 Women","Vermont Ruckus",10,1,5,3,-1,6,1.66666666666667,0.166666666666667,0.833333333333333,0.5,-0.166666666666667
"1332","Lucia Neyra","Division 3","Women","Division 3 Women","Portland UPRoar",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1333","Liam Griffin","Division 3","Men","Division 3 Men","St Olaf Berzerkers",3,0,2,0,-1,6,0.5,0,0.333333333333333,0,-0.166666666666667
"1334","Liam Etelson","Division 3","Men","Division 3 Men","Carleton CHOP",4,0,2,1,-1,6,0.666666666666667,0,0.333333333333333,0.166666666666667,-0.166666666666667
"1335","Leo Devonshire","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",6,3,1,1,-1,6,1,0.5,0.166666666666667,0.166666666666667,-0.166666666666667
"1336","Kolbe Bauer","Division 1","Men","Division 1 Men","Texas TUFF",3,0,2,0,-1,5,0.6,0,0.4,0,-0.2
"1337","Kelsi Jones","Division 3","Women","Division 3 Women","Union Jillz",8,3,1,3,-1,6,1.33333333333333,0.5,0.166666666666667,0.5,-0.166666666666667
"1338","Katherine Romero","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1339","Kate Bicks","Division 3","Women","Division 3 Women","Colorado College Zenith",8,3,1,3,-1,6,1.33333333333333,0.5,0.166666666666667,0.5,-0.166666666666667
"1340","Kara Higgins","Division 3","Women","Division 3 Women","Davenport Panthers",7,3,0,3,-1,5,1.4,0.6,0,0.6,-0.2
"1341","Kailani Latimer","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1342","Jonah Barry","Division 1","Men","Division 1 Men","Carleton CUT",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
"1343","Joel Brown","Division 1","Men","Division 1 Men","Washington University Contra",12,4,5,2,-1,5,2.4,0.8,1,0.4,-0.2
"1344","Jocelyn Richison","Division 3","Women","Division 3 Women","Davenport Panthers",15,6,4,4,-1,5,3,1.2,0.8,0.8,-0.2
"1345","Jianwei Li","Division 1","Women","Division 1 Women","Pennsylvania Venus",5,2,1,1,-1,5,1,0.4,0.2,0.2,-0.2
"1346","Jessica Luu","Division 1","Women","Division 1 Women","Washington Element",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
"1347","Jasmine Lin","Division 3","Women","Division 3 Women","Richmond Red Hots",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1348","Jasmine Bowman","Division 1","Women","Division 1 Women","Utah Spiral Jetty",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
"1349","Jake Hyman","Division 1","Men","Division 1 Men","Washington University Contra",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1350","Jahiem Upchurch","Division 3","Men","Division 3 Men","Davenport Panthers",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1351","Jackson Freeman","Division 1","Men","Division 1 Men","Washington University Contra",4,1,1,1,-1,5,0.8,0.2,0.2,0.2,-0.2
"1352","Isaiah Curtis","Division 3","Men","Division 3 Men","Claremont Braineaters",9,3,4,1,-1,6,1.5,0.5,0.666666666666667,0.166666666666667,-0.166666666666667
"1353","Ian Rock-Jones","Division 1","Men","Division 1 Men","Carleton CUT",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1354","Ian Neal","Division 3","Men","Division 3 Men","Davenport Panthers",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1355","Henry Charbeneau","Division 1","Men","Division 1 Men","Texas TUFF",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1356","Hans Frautschi","Division 3","Men","Division 3 Men","Whitman Sweets",6,2,1,2,-1,6,1,0.333333333333333,0.166666666666667,0.333333333333333,-0.166666666666667
"1357","Hannah Lute","Division 3","Women","Division 3 Women","Union Jillz",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1358","Hannah Kroeplin","Division 1","Women","Division 1 Women","Victoria Vikes",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
"1359","Gwendolyn McGuire","Division 1","Women","Division 1 Women","Michigan Flywheel",2,0,1,0,-1,5,0.4,0,0.2,0,-0.2
"1360","Gretchen Pohl","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
"1361","Georgia Corson","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",3,1,1,0,-1,5,0.6,0.2,0.2,0,-0.2
"1362","Gabrielle Weaver","Division 3","Women","Division 3 Women","Portland UPRoar",2,1,0,0,-1,6,0.333333333333333,0.166666666666667,0,0,-0.166666666666667
"1363","Gabriel Scheck","Division 1","Men","Division 1 Men","Michigan Magnum",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1364","Gabriel Graceffo","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1365","Gabe Borda","Division 1","Men","Division 1 Men","Georgia Jojah",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1366","Ezra Marcus-Tyler","Division 3","Men","Division 3 Men","Claremont Braineaters",5,3,1,0,-1,6,0.833333333333333,0.5,0.166666666666667,0,-0.166666666666667
"1367","Eugenia Chow","Division 1","Women","Division 1 Women","North Carolina Pleiades",3,2,0,0,-1,7,0.428571428571429,0.285714285714286,0,0,-0.142857142857143
"1368","Emma Giamello","Division 3","Women","Division 3 Women","Portland UPRoar",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1369","Ella Bolan","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",20,6,12,1,-1,6,3.33333333333333,1,2,0.166666666666667,-0.166666666666667
"1370","Elk Thomas-Toth","Division 3","Men","Division 3 Men","Carleton CHOP",6,4,0,1,-1,6,1,0.666666666666667,0,0.166666666666667,-0.166666666666667
"1371","Elise Gautier","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",15,9,5,0,-1,6,2.5,1.5,0.833333333333333,0,-0.166666666666667
"1372","David Kimberly","Division 3","Men","Division 3 Men","Williams WUFO",2,0,0,1,-1,6,0.333333333333333,0,0,0.166666666666667,-0.166666666666667
"1373","Daniel Zhang","Division 1","Men","Division 1 Men","North Carolina Darkside",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1374","Daniel Griffin","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1375","Daisy Cuthbert","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",4,0,1,2,-1,5,0.8,0,0.2,0.4,-0.2
"1376","Connor Scott","Division 3","Men","Division 3 Men","Whitman Sweets",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1377","Colin Dunn","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
"1378","Cindy Zhang","Division 1","Women","Division 1 Women","Tufts EWO",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1379","Chloe Pacetti","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",4,1,2,0,-1,6,0.666666666666667,0.166666666666667,0.333333333333333,0,-0.166666666666667
"1380","Charlotte Harkrader","Division 3","Women","Division 3 Women","Occidental WAC",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1381","Caroline Li","Division 1","Women","Division 1 Women","Pennsylvania Venus",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1382","Camden Mah","Division 1","Men","Division 1 Men","Cal Ursa Major",8,0,1,6,-1,5,1.6,0,0.2,1.2,-0.2
"1383","Caleb Griffiths","Division 1","Men","Division 1 Men","Minnesota Grey Duck",2,0,1,0,-1,5,0.4,0,0.2,0,-0.2
"1384","Calan Kirkpatrick","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1385","Bridget McBride","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain",7,4,0,2,-1,6,1.16666666666667,0.666666666666667,0,0.333333333333333,-0.166666666666667
"1386","Brian Bekken","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
"1387","Brandon Lemens","Division 1","Men","Division 1 Men","Texas TUFF",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1388","Benjamin Weinstein","Division 1","Men","Division 1 Men","Vermont Chill",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1389","Ben Thollander","Division 1","Men","Division 1 Men","Texas TUFF",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1390","Ben Eichel","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",3,1,0,1,-1,6,0.5,0.166666666666667,0,0.166666666666667,-0.166666666666667
"1391","Annie Art","Division 3","Women","Division 3 Women","Middlebury Pranksters",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1392","Anna Ryan","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
"1393","Anna Bingham","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1394","Angelo Hernandez","Division 3","Men","Division 3 Men","Berry Bucks",1,0,0,0,-1,6,0.166666666666667,0,0,0,-0.166666666666667
"1395","Andy Burris","Division 1","Men","Division 1 Men","Brown Brownian Motion",1,0,0,0,-1,8,0.125,0,0,0,-0.125
"1396","Amanda Szutu","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1397","Aliyah Latham","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",1,0,0,0,-1,5,0.2,0,0,0,-0.2
"1398","Alex Hecht","Division 1","Women","Division 1 Women","North Carolina Pleiades",2,0,1,0,-1,7,0.285714285714286,0,0.142857142857143,0,-0.142857142857143
"1399","Alanna Marte","Division 1","Women","Division 1 Women","Pennsylvania Venus",3,1,0,1,-1,5,0.6,0.2,0,0.2,-0.2
"1400","Adam Goldstein","Division 1","Men","Division 1 Men","Georgia Jojah",2,0,0,1,-1,5,0.4,0,0,0.2,-0.2
"1401","Adam Ali","Division 3","Men","Division 3 Men","Carleton CHOP",2,0,1,0,-1,6,0.333333333333333,0,0.166666666666667,0,-0.166666666666667
"1402","Aanand Yu","Division 1","Men","Division 1 Men","NC State Alpha",2,0,1,0,-1,6,0.333333333333333,0,0.166666666666667,0,-0.166666666666667
"1403","Zoe Williamson","Division 3","Women","Division 3 Women","Colorado College Zenith",7,2,0,3,-2,6,1.16666666666667,0.333333333333333,0,0.5,-0.333333333333333
"1404","Yana Wink","Division 1","Women","Division 1 Women","Western Washington Chaos",7,1,2,2,-2,5,1.4,0.2,0.4,0.4,-0.4
"1405","Wade Intrator","Division 3","Men","Division 3 Men","Bates Orange Whip",2,0,0,0,-2,6,0.333333333333333,0,0,0,-0.333333333333333
"1406","Vivian Ross","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",6,3,0,1,-2,6,1,0.5,0,0.166666666666667,-0.333333333333333
"1407","Tomomi Ogura","Division 1","Women","Division 1 Women","Western Washington Chaos",11,2,4,3,-2,5,2.2,0.4,0.8,0.6,-0.4
"1408","Taro Jelinek","Division 3","Men","Division 3 Men","St Olaf Berzerkers",7,3,0,2,-2,6,1.16666666666667,0.5,0,0.333333333333333,-0.333333333333333
"1409","Sydney Tellis","Division 3","Women","Division 3 Women","Richmond Red Hots",5,3,0,0,-2,6,0.833333333333333,0.5,0,0,-0.333333333333333
"1410","Sophie Hankin","Division 1","Women","Division 1 Women","Tufts EWO",10,1,6,1,-2,5,2,0.2,1.2,0.2,-0.4
"1411","Sayric Arias","Division 1","Men","Division 1 Men","Oregon State Beavers",3,0,0,1,-2,5,0.6,0,0,0.2,-0.4
"1412","Sam Fischer","Division 3","Men","Division 3 Men","Claremont Braineaters",3,1,0,0,-2,6,0.5,0.166666666666667,0,0,-0.333333333333333
"1413","Rylie Feltner","Division 3","Women","Division 3 Women","Union Jillz",3,0,0,1,-2,6,0.5,0,0,0.166666666666667,-0.333333333333333
"1414","Rohan Patel","Division 1","Men","Division 1 Men","Washington University Contra",3,1,0,0,-2,5,0.6,0.2,0,0,-0.4
"1415","Rebecca Marshall","Division 1","Women","Division 1 Women","Carleton Syzygy",4,1,1,0,-2,6,0.666666666666667,0.166666666666667,0.166666666666667,0,-0.333333333333333
"1416","Nicky Troilo","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",6,0,3,1,-2,5,1.2,0,0.6,0.2,-0.4
"1417","Monica Hoang","Division 1","Women","Division 1 Women","Washington Element",2,0,0,0,-2,5,0.4,0,0,0,-0.4
"1418","Molly Friedrichs","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",3,0,0,1,-2,6,0.5,0,0,0.166666666666667,-0.333333333333333
"1419","Mechelle Chen","Division 1","Women","Division 1 Women","Georgia Athena",3,0,0,1,-2,5,0.6,0,0,0.2,-0.4
"1420","Matthew Evans","Division 3","Men","Division 3 Men","Franciscan Fatal",18,4,9,3,-2,6,3,0.666666666666667,1.5,0.5,-0.333333333333333
"1421","Mary Francis","Division 1","Women","Division 1 Women","Utah Spiral Jetty",6,0,2,2,-2,5,1.2,0,0.4,0.4,-0.4
"1422","Maple Bottinelli","Division 3","Women","Division 3 Women","Wellesley Whiptails",2,0,0,0,-2,6,0.333333333333333,0,0,0,-0.333333333333333
"1423","Manuel Estevez","Division 3","Men","Division 3 Men","Berry Bucks",2,0,0,0,-2,6,0.333333333333333,0,0,0,-0.333333333333333
"1424","Makenna Bachman","Division 3","Women","Division 3 Women","Middlebury Pranksters",5,2,0,1,-2,5,1,0.4,0,0.2,-0.4
"1425","Lyanne Wang","Division 3","Women","Division 3 Women","Wellesley Whiptails",3,0,0,1,-2,6,0.5,0,0,0.166666666666667,-0.333333333333333
"1426","Lucy Tanner","Division 1","Women","Division 1 Women","Washington Element",16,3,7,4,-2,5,3.2,0.6,1.4,0.8,-0.4
"1427","Lucy Suchomel","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts",2,0,0,0,-2,6,0.333333333333333,0,0,0,-0.333333333333333
"1428","Lindsey Norwood","Division 3","Women","Division 3 Women","Union Jillz",10,5,1,2,-2,6,1.66666666666667,0.833333333333333,0.166666666666667,0.333333333333333,-0.333333333333333
"1429","Lily Weissman","Division 3","Women","Division 3 Women","Middlebury Pranksters",3,0,1,0,-2,5,0.6,0,0.2,0,-0.4
"1430","Lily LeDonne","Division 1","Women","Division 1 Women","Washington Element",3,0,1,0,-2,5,0.6,0,0.2,0,-0.4
"1431","Lia Schwartz","Division 1","Women","Division 1 Women","Tufts EWO",23,3,17,1,-2,5,4.6,0.6,3.4,0.2,-0.4
"1432","Leza Rooks","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",7,2,1,2,-2,6,1.16666666666667,0.333333333333333,0.166666666666667,0.333333333333333,-0.333333333333333
"1433","Leo Furr","Division 3","Men","Division 3 Men","Claremont Braineaters",4,0,0,2,-2,6,0.666666666666667,0,0,0.333333333333333,-0.333333333333333
"1434","Leah Demsey","Division 1","Women","Division 1 Women","Victoria Vikes",6,1,0,3,-2,5,1.2,0.2,0,0.6,-0.4
"1435","Lauren Marshall","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",7,4,1,0,-2,5,1.4,0.8,0.2,0,-0.4
"1436","Kate Gearing","Division 1","Women","Division 1 Women","Tufts EWO",8,4,1,1,-2,5,1.6,0.8,0.2,0.2,-0.4
"1437","Julius Cohen","Division 1","Men","Division 1 Men","Michigan Magnum",9,3,3,1,-2,5,1.8,0.6,0.6,0.2,-0.4
"1438","Julia Giesenhagen","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",3,0,1,0,-2,5,0.6,0,0.2,0,-0.4
